primaryTitle,allorating,imdbrating,genres,diff,imdb
13 Hours,7.8,7.3,"Action,Drama,History",0.5,4172430
50/50,8.0,7.6,"Comedy,Drama,Romance",0.4000000000000003,1306980
Aladdin,8.6,8.1,"Adventure,Animation,Comedy",0.5,103639
Alps,4.8,6.4,Drama,1.6000000000000003,1859446
Amelia,4.6,5.8,"Adventure,Biography,Drama",1.2000000000000002,1129445
American Hero,5.2,5.0,"Action,Comedy,Drama",0.2000000000000001,4733536
American History X,8.8,8.5,Drama,0.3000000000000007,120586
American Pastoral,6.2,6.1,"Crime,Drama",0.1000000000000005,376479
American Pie,5.8,7.1,Comedy,1.2999999999999998,163651
Angel,4.8,5.8,"Drama,Romance",1.0,783767
Angel Eyes,4.8,5.6,"Drama,Romance",0.7999999999999998,225071
Another Day in Paradise,6.4,6.5,"Crime,Drama,Thriller",0.0999999999999996,127722
Ant-Man,7.8,7.3,"Action,Adventure,Comedy",0.5,478970
Appaloosa,6.8,6.7,"Action,Crime,Drama",0.0999999999999996,800308
Arabesque,6.4,8.0,"Comedy,Musical",1.5999999999999996,60121
Augustine,5.4,6.1,"Drama,History",0.6999999999999993,2098628
Aurora,5.0,6.6,Drama,1.5999999999999996,1403047
Away We Go,7.2,7.0,"Adventure,Comedy,Drama",0.2000000000000001,1176740
Baby Boy,7.2,6.4,"Crime,Drama,Romance",0.7999999999999998,255819
Bad Boys,6.6,6.8,"Action,Comedy,Crime",0.2000000000000001,112442
Bad Boys II,5.8,6.6,"Action,Comedy,Crime",0.7999999999999998,172156
Baraka,8.4,8.6,Documentary,0.1999999999999993,103767
Barbershop,7.0,6.3,"Comedy,Drama",0.7000000000000002,303714
Barton Fink,7.8,7.6,"Comedy,Drama,Thriller",0.2000000000000001,101410
Basic,6.2,6.4,"Action,Crime,Drama",0.2000000000000001,264395
Beetlejuice,7.6,7.5,"Comedy,Fantasy",0.0999999999999996,94721
Belgica,7.4,6.7,Drama,0.7000000000000002,3544218
Beloved,6.6,6.0,"Drama,History,Horror",0.5999999999999996,120603
Bernie,7.2,7.1,"Comedy,Drama",0.1000000000000005,115658
Big Fish,8.4,8.0,"Adventure,Drama,Fantasy",0.4000000000000003,319061
Biker Boyz,5.2,4.6,"Action,Drama",0.6000000000000005,326769
Birdy,7.8,7.2,"Drama,War",0.5999999999999996,86969
Birth,3.8,6.2,"Drama,Fantasy,Mystery",2.4000000000000004,337876
Black Book,7.8,7.7,"Drama,Thriller,War",0.0999999999999996,389557
Blood Father,6.0,6.4,"Action,Crime,Drama",0.4000000000000003,3647498
Boat Trip,4.2,4.9,Comedy,0.7000000000000002,285462
Bonjour Tristesse,6.6,6.9,"Drama,Romance",0.3000000000000007,51429
Born Romantic,6.2,6.4,"Comedy,Romance",0.2000000000000001,236034
Bouquet final,5.6,5.8,Comedy,0.2000000000000001,1134801
Bowling for Columbine,7.8,8.0,"Crime,Documentary,Drama",0.2000000000000001,310793
Boyhood,8.4,7.9,Drama,0.5,1065073
Boys,7.6,7.5,"Drama,Romance",0.0999999999999996,3318220
Brazil,8.2,7.9,"Drama,Sci-Fi",0.2999999999999989,88846
Brick,5.8,7.2,"Action,Crime,Drama",1.4000000000000004,393109
Brothers,8.0,6.5,"Biography,Drama",1.5,765010
Bruiser,4.2,5.2,"Horror,Mystery",1.0,212830
Bubble,4.6,6.5,"Crime,Drama,Mystery",1.9000000000000004,454792
Cafard,6.6,6.9,"Animation,Drama",0.3000000000000007,4926026
Camping 2,3.4,4.3,Comedy,0.8999999999999999,1503096
Captain Fantastic,8.8,7.8,"Comedy,Drama",1.0000000000000009,3553976
Captivity,3.4,4.6,"Crime,Horror,Mystery",1.1999999999999995,374563
Capturing the Friedmans,7.4,7.7,"Biography,Crime,Documentary",0.2999999999999998,342172
Caramel,7.0,7.1,"Comedy,Drama,Romance",0.0999999999999996,825236
Carancho,6.2,6.8,"Crime,Drama,Romance",0.5999999999999996,1542852
Carnage,6.8,7.1,"Comedy,Drama",0.2999999999999998,1692486
Carol,8.0,7.2,"Drama,Romance",0.7999999999999998,2402927
Casablanca,8.4,8.5,"Drama,Romance,War",0.0999999999999996,34583
Casino,8.4,8.2,"Crime,Drama",0.200000000000001,112641
Catwoman,2.8,3.4,"Action,Crime,Fantasy",0.6000000000000001,327554
Centurion,5.8,6.3,"Action,Drama,History",0.5,1020558
Chicago,6.4,7.2,"Comedy,Crime,Musical",0.7999999999999998,299658
Chinatown,8.0,8.2,"Drama,Mystery,Thriller",0.1999999999999993,71315
Chouchou,3.8,4.6,Comedy,0.7999999999999998,328955
Christine,7.0,6.7,"Horror,Thriller",0.2999999999999998,85333
Citizenfour,8.4,8.0,"Biography,Documentary,History",0.4000000000000003,4044364
Collateral,7.8,7.5,"Action,Crime,Drama",0.2999999999999998,369339
Colonia,8.6,7.1,"Biography,Drama,History",1.5,4005402
Compliance,5.2,6.4,"Crime,Drama,History",1.2000000000000002,1971352
Comrades,8.0,7.3,"Drama,History",0.7000000000000002,92772
Constantine,6.4,7.0,"Action,Fantasy,Horror",0.5999999999999996,360486
Contagion,5.2,6.8,"Drama,Thriller",1.5999999999999996,1598778
Conviction,7.6,7.2,"Biography,Crime,Drama",0.3999999999999994,1244754
Cookie's Fortune,6.2,6.8,"Comedy,Drama",0.5999999999999996,126250
Copacabana,7.0,6.7,Comedy,0.2999999999999998,1454910
Coraline,8.0,7.7,"Animation,Drama,Family",0.2999999999999998,327597
Cracks,7.0,6.6,"Drama,Thriller",0.4000000000000003,1183665
Crimson Peak,7.2,6.5,"Drama,Horror,Mystery",0.7000000000000002,2554274
Cypher,6.2,6.7,"Mystery,Sci-Fi,Thriller",0.5,284978
Dark Places,6.8,6.2,"Crime,Drama,Mystery",0.5999999999999996,2402101
Dark Water,4.2,5.6,"Drama,Horror,Mystery",1.3999999999999997,382628
Darling,6.8,6.6,"Biography,Drama",0.2000000000000001,881233
Daybreakers,5.6,6.4,"Action,Horror,Sci-Fi",0.8000000000000007,433362
De-Lovely,7.0,6.6,"Biography,Drama,Music",0.4000000000000003,352277
Deadpool,8.4,8.0,"Action,Adventure,Comedy",0.4000000000000003,1431045
Dear White People,5.6,6.1,"Comedy,Drama,Romance",0.5,2235108
Delirious,5.0,6.4,"Comedy,Drama,Romance",1.4000000000000004,412637
Demolition,7.8,7.0,"Comedy,Drama",0.7999999999999998,1172049
Devil,4.8,6.3,"Horror,Mystery,Thriller",1.5,1314655
Dheepan,7.4,7.2,"Crime,Drama",0.2000000000000001,4082068
Diana,5.2,5.5,"Biography,Drama,Romance",0.2999999999999998,1758595
Disco,3.2,4.3,"Comedy,Music",1.0999999999999996,953369
Dobermann,6.4,6.5,"Action,Crime,Thriller",0.0999999999999996,118996
Dog Pound,8.2,7.0,"Crime,Drama",1.1999999999999993,1422020
Dogma,6.6,7.3,"Adventure,Comedy,Drama",0.7000000000000002,120655
Dope,7.8,7.2,"Adventure,Comedy,Crime",0.5999999999999996,3850214
Dough,7.0,6.2,"Comedy,Drama",0.7999999999999998,1517471
Drive,8.0,6.7,"Action,Adventure,Comedy",1.2999999999999998,780504
Eden,5.2,6.4,"Biography,Drama,Music",1.2000000000000002,3458812
Eden Log,3.4,5.2,"Horror,Mystery,Sci-Fi",1.8000000000000005,1087842
Elephant,7.2,7.1,"Crime,Drama,Thriller",0.1000000000000005,363589
Entourage,6.6,6.5,"Comedy,Drama",0.0999999999999996,1674771
Equilibrium,7.2,7.4,"Action,Drama,Sci-Fi",0.2000000000000001,238380
Exam,6.4,6.8,"Mystery,Thriller",0.3999999999999994,1258197
Exodus,7.0,6.7,"Action,Drama,History",0.2999999999999998,53804
Fanny,7.8,6.8,Drama,1.0,1872101
Faster,5.8,6.4,"Action,Crime,Drama",0.6000000000000005,1433108
Fatal,5.4,5.8,"Comedy,Music",0.3999999999999994,1473357
Fences,7.0,7.2,Drama,0.2000000000000001,2671706
Fight Club,9.0,8.8,Drama,0.1999999999999993,137523
Fighting,4.8,5.5,"Action,Crime,Drama",0.7000000000000002,1082601
Fiona,6.0,5.7,Drama,0.2999999999999998,168787
Five,8.0,6.2,"Comedy,Crime,Drama",1.7999999999999998,4741714
Flight,7.4,7.3,"Drama,Thriller",0.1000000000000005,1907668
Footloose,7.0,5.9,"Comedy,Drama,Music",1.0999999999999996,1068242
Frances Ha,7.6,7.4,"Comedy,Drama,Romance",0.1999999999999993,2347569
Frankenweenie,7.8,6.9,"Animation,Comedy,Drama",0.8999999999999995,1142977
Frozen River,7.0,7.1,"Crime,Drama",0.0999999999999996,978759
Fruitvale Station,8.0,7.5,"Biography,Crime,Drama",0.5,2334649
Full Metal Jacket,8.6,8.3,"Drama,War",0.2999999999999989,93058
Fury,8.2,7.6,"Action,Drama,War",0.5999999999999996,2713180
Gabrielle,4.4,6.9,Drama,2.5,435479
Gangsters,6.2,6.4,"Action,Crime,Drama",0.2000000000000001,282515
Garfield,3.6,5.0,"Adventure,Animation,Comedy",1.4,356634
Gigantic,5.0,6.0,"Comedy,Drama,Romance",1.0,1176251
Girlfight,7.2,6.7,"Drama,Sport",0.5,210075
Gladiator,9.0,8.5,"Action,Adventure,Drama",0.5,172495
Gloria,6.0,6.9,"Comedy,Drama,Romance",0.9000000000000004,80798
Glory,7.2,7.6,Drama,0.3999999999999994,97441
Go,6.0,7.2,"Comedy,Crime",1.2000000000000002,139239
Godzilla,5.8,6.4,"Action,Adventure,Sci-Fi",0.6000000000000005,831387
Godzilla: Final Wars,5.8,6.3,"Action,Adventure,Fantasy",0.5,399102
Golden Door,4.4,6.8,"Drama,History,Romance",2.3999999999999995,465188
Gone Girl,8.6,8.1,"Drama,Mystery,Thriller",0.5,2267998
"Good Night, and Good Luck.",6.8,7.4,"Biography,Drama,History",0.6000000000000005,433383
Goodbye Bafana,7.4,7.1,"Biography,Drama,History",0.3000000000000007,438859
Goodbye Solo,6.0,7.3,Drama,1.2999999999999998,1095442
Gosford Park,6.2,7.2,"Comedy,Drama,Mystery",1.0,280707
Grace,4.2,5.2,"Drama,Horror,Thriller",1.0,1220213
Green Room,6.2,7.0,"Horror,Music,Thriller",0.7999999999999998,4062536
Half Nelson,6.8,7.1,Drama,0.2999999999999998,468489
Hancock,6.6,6.4,"Action,Drama,Fantasy",0.1999999999999993,448157
Hannah Arendt,7.2,7.1,"Biography,Drama",0.1000000000000005,1674773
Happiness,7.2,7.7,"Comedy,Drama",0.5,147612
Happy Feet,6.2,6.4,"Adventure,Animation,Comedy",0.2000000000000001,366548
Harrison's Flowers,6.8,7.1,"Drama,Romance,War",0.2999999999999998,216799
Harry Brown,6.8,7.2,"Action,Crime,Drama",0.4000000000000003,1289406
He Got Game,6.6,6.9,"Drama,Sport",0.3000000000000007,124718
Heat,8.6,8.3,"Action,Crime,Drama",0.2999999999999989,113277
Hector,7.6,5.7,\N,1.8999999999999997,3744070
Hellboy,6.2,6.9,"Action,Adventure,Fantasy",0.7000000000000002,167190
Her,8.2,8.0,"Drama,Romance,Sci-Fi",0.1999999999999993,1798709
High-Rise,4.4,5.5,"Drama,Sci-Fi",1.0999999999999996,462335
Hollywoo,4.8,5.0,Comedy,0.2000000000000001,1730697
Hollywoodland,4.8,6.5,"Biography,Crime,Drama",1.7000000000000002,427969
Holy Smoke,6.2,5.8,"Comedy,Drama",0.4000000000000003,144715
Hombre,7.2,7.4,Western,0.2000000000000001,61770
Home Sweet Home,4.6,5.4,Comedy,0.8000000000000007,1168639
Homefront,7.4,6.5,"Action,Crime,Thriller",0.9000000000000004,2312718
Hop,5.6,5.4,"Adventure,Animation,Comedy",0.1999999999999993,1411704
Horns,6.4,6.5,"Comedy,Crime,Drama",0.0999999999999996,1528071
Howl,6.8,6.7,"Biography,Drama,Romance",0.0999999999999996,1049402
Human Nature,6.0,6.4,"Comedy,Drama",0.4000000000000003,219822
Human Traffic,6.8,7.1,"Comedy,Music",0.2999999999999998,188674
Human Zoo,6.2,6.0,Drama,0.2000000000000001,1290419
Hyena,5.2,6.2,"Crime,Drama,Thriller",1.0,1837574
"I Love You, Beth Cooper",4.2,5.3,"Comedy,Romance",1.0999999999999996,1032815
"I Love You, Man",5.4,7.0,"Comedy,Romance",1.5999999999999996,1155056
I Origins,8.2,7.3,"Drama,Mystery,Romance",0.8999999999999995,2884206
Idiocracy,5.4,6.5,"Adventure,Comedy,Sci-Fi",1.0999999999999996,387808
In the Mood for Love,8.0,8.1,"Drama,Romance",0.0999999999999996,118694
Inception,9.0,8.8,"Action,Adventure,Sci-Fi",0.1999999999999993,1375666
Interstellar,9.0,8.7,"Adventure,Drama,Sci-Fi",0.3000000000000007,816692
Irina Palm,6.4,7.2,Drama,0.7999999999999998,762110
Jackie,6.0,6.8,"Comedy,Drama",0.7999999999999998,1619029
Jersey Boys,7.8,6.8,"Biography,Drama,Music",1.0,1742044
Jimmy's Hall,7.6,6.7,"Biography,Drama,History",0.8999999999999995,3110960
Joy,7.0,6.6,"Biography,Drama",0.4000000000000003,2446980
Joy Division,7.2,7.7,"Documentary,Music",0.5,1097239
Julien Donkey-Boy,7.0,6.7,"Comedy,Drama",0.2999999999999998,192194
Jurassic Park III,5.2,5.9,"Action,Adventure,Sci-Fi",0.7000000000000002,163025
Kaboom,6.0,5.7,"Comedy,Mystery,Romance",0.2999999999999998,1523483
Kedma,5.6,5.7,"Drama,War",0.1000000000000005,304267
Kick-Ass,8.0,7.6,"Action,Comedy,Crime",0.4000000000000003,1250777
Kick-Ass 2,7.6,6.5,"Action,Comedy,Crime",1.0999999999999996,1650554
Klute,7.4,7.1,"Crime,Mystery,Thriller",0.3000000000000007,67309
Kung Fu Panda 3,8.0,7.1,"Action,Adventure,Animation",0.9000000000000004,2267968
Last Action Hero,6.8,6.4,"Action,Adventure,Comedy",0.3999999999999994,107362
Laura,8.0,7.9,"Drama,Film-Noir,Mystery",0.0999999999999996,37008
Lenny,7.8,7.6,"Biography,Drama",0.2000000000000001,71746
Like Someone in Love,5.8,7.0,Drama,1.2000000000000002,1843287
